Name,x,y,h
 P1,388392.929,2050972.44,544.608
 P2,388480.49,2050995.301,547.738
 P3,388577.161,2051024.226,547
 P4,388583.661,2050968.791,547.27
 P5,388590.427,2050932.349,546.118
 P6,388617.846,2050853.045,535.833
 P7,388574.974,2050823.557,538.227
 P8,388521.907,2050788.593,539.312
 P9,388505.565,2050832.172,544.784
 P10,388481.818,2050875.044,544.389
 P11,388459.925,2050911.795,543.282
 B1,388433.077,2050971.516,548.51
 B2,388464.19,2050979.392,547.01
 B3,388518.197,2050993.062,547.73
 B4,388568.464,2051005.963,547.6
 B5,388578.521,2050967.426,545.83
 B6,388540.175,2050922.247,544.27
 B7,388502.588,2050877.964,544.9
 B8,388492.65,2050895.172,545.12
 B9,388470.136,2050913.976,544.44
 B10,388483.447,2050929.847,544.49
 B11,388506.19,2050911.063,544.99
 B12,388532.942,2050942.462,545.13
 B13,388558.226,2050972.137,546.1
 B14,388555.152,2050982.962,546.62
 B15,388514.404,2050971.955,547.55
 B16,388508.264,2050949.149,545.49
 B17,388480.245,2050941.315,545.1
 B18,388444.039,2050931.733,545.87
